Sample	Bin	Site	NCBI species	GTDB taxonomy	Completeness	Contamination	Strain heterogeneity	Size (Mb)	N50 (Kb)	# genes	# tRNA	# 16S rRNA	# 23S rRNA	# 5S rRNA	dRep 95% sANI rep (cohort)	dRep 95% sANI rep (cohort plus UHGG species reps)	FastANI to closest UHGG genome	Novel compared to UHGG
bushbuckridge_21	bin.4	Bushbuckridge	Escherichia coli	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia flexneri	97.14	0.36	20	4.42	53.382	4136	55	1	0	0	FALSE	FALSE	99.4562	FALSE
bushbuckridge_21	bin.5	Bushbuckridge	Ruminococcus sp. CAG:353	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-353;s__CAG-353 sp900066885	97.09	0	0	2.59	61.079	2395	39	0	0	0	FALSE	FALSE	99.2347	FALSE
bushbuckridge_21	bin.7	Bushbuckridge	uncultured bacterium	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__UBA1829;g__UBA1829;s__UBA1829 sp900549045	93.89	1.35	0	3.48	90.881	2851	46	1	1	0	TRUE	FALSE	98.9989	FALSE
bushbuckridge_22	20	Bushbuckridge	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp000432435	95.86	0.22	100	1.82	20.126	1652	32	0	0	2	FALSE	FALSE	98.4912	FALSE
bushbuckridge_22	34	Bushbuckridge	Prevotellaceae bacterium	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__Prevotellamassilia timonensis	92.03	0.93	20	2.84	20.781	2150	38	0	0	0	FALSE	FALSE	96.8929	FALSE
bushbuckridge_22	45	Bushbuckridge	Unclassified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900543975	91.83	1.44	14.29	2.71	9.637	1998	17	0	0	0	FALSE	FALSE	97.9285	FALSE
bushbuckridge_22	6	Bushbuckridge	Succinatimonas sp. UBA2849	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp000431835	99.18	0.29	0	2.34	14.353	2061	37	0	0	0	FALSE	FALSE	98.8256	FALSE
bushbuckridge_22	9	Bushbuckridge	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003514385	95.82	3.02	100	2.03	8.558	1911	27	0	0	0	FALSE	FALSE	99.5648	FALSE
bushbuckridge_23	13	Bushbuckridge	Ruminococcus champanellensis 18P13 = JCM 17042	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_F;s__Ruminococcus_F champanellensis	83.45	0.44	25	1.95	4.119	1856	23	1	0	2	FALSE	FALSE	98.0136	FALSE
bushbuckridge_23	17	Bushbuckridge	Firmicutes bacterium CAG:552	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__CAG-552;s__CAG-552 sp000435495	93.95	0.81	0	1.32	19.306	1117	35	0	0	0	TRUE	FALSE	99.35	FALSE
bushbuckridge_23	29_sub	Bushbuckridge	Clostridium sp. CAG:413	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp000431775	81.07	2.01	66.67	1.8	3.59	1605	12	0	0	0	FALSE	FALSE	98.3831	FALSE
bushbuckridge_23	49	Bushbuckridge	Clostridium sp. CAG:138	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	93.94	1.68	0	1.91	75.143	1676	34	0	0	1	FALSE	FALSE	98.6027	FALSE
bushbuckridge_23	60	Bushbuckridge	Candidatus Methanomethylophilus alvus	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus alvus	83.79	0.54	50	1.36	3.006	1576	26	1	1	1	TRUE	FALSE	98.9955	FALSE
bushbuckridge_23	64_sub	Bushbuckridge	Unclassified	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-488;s__CAG-488 sp900539465	75.7	3.63	16.67	1.54	2.345	1306	12	0	0	1	FALSE	FALSE	98.8232	FALSE
bushbuckridge_23	72	Bushbuckridge	Clostridiales bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__CAG-349;s__CAG-349 sp003539515	77.4	1.79	25	1.25	3.604	1101	17	0	0	0	FALSE	FALSE	98.127	FALSE
bushbuckridge_23	bin.15	Bushbuckridge	Akkermansia muciniphila	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.96	0	0	2.64	54.342	2230	45	0	0	0	FALSE	FALSE	99.6609	FALSE
bushbuckridge_23	bin.2	Bushbuckridge	Clostridiales bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UMGS687;s__UMGS687 sp900544595	91.57	0	0	0.85	32.513	756	38	2	0	1	TRUE	FALSE	97.7076	FALSE
bushbuckridge_23	bin.25_sub	Bushbuckridge	Christensenellaceae bacterium Phil1	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__Phil1;s__Phil1 sp001940855	98.39	0	0	2.09	67.211	1930	43	0	0	0	FALSE	FALSE	97.7878	FALSE
bushbuckridge_23	bin.31	Bushbuckridge	uncultured proteobacterium	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__;s__	87.63	0	0	1.29	12.16	1213	32	1	0	0	TRUE	TRUE	93.5922	TRUE
bushbuckridge_23	bin.6	Bushbuckridge	Unclassified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000433355	94.6	1.19	0	3.47	136.062	2729	44	0	0	0	FALSE	FALSE	98.4181	FALSE
bushbuckridge_23	maxbin.002_sub	Bushbuckridge	Prevotella sp. AM23-5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900556795	82.24	1.78	58.33	3.2	13.013	2620	30	0	2	3	FALSE	FALSE	97.134	FALSE
bushbuckridge_23	maxbin.003	Bushbuckridge	Oscillibacter sp.	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp900313295	91.95	2.35	50	2.24	27.723	2061	37	0	0	1	FALSE	FALSE	98.7462	FALSE
bushbuckridge_23	maxbin.020	Bushbuckridge	Escherichia coli	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	98.55	1.02	41.18	4.5	10.853	4239	46	0	0	0	FALSE	FALSE	99.826	FALSE
bushbuckridge_24	24	Bushbuckridge	Clostridiales bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-390;s__	92.79	5.33	7.14	2.34	10.639	2113	28	0	0	0	FALSE	FALSE	98.9956	FALSE
bushbuckridge_24	33	Bushbuckridge	Unclassified	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA4636;s__	83.6	1.61	0	2.16	5.075	1760	17	0	0	0	TRUE	FALSE	97.7603	FALSE
bushbuckridge_24	37	Bushbuckridge	uncultured Clostridiales bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__RUG472;s__RUG472 sp900545265	90.84	2.02	0	1.95	8.106	1915	26	0	0	0	FALSE	FALSE	98.8693	FALSE
bushbuckridge_24	4	Bushbuckridge	Unclassified	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UMGS973;s__UMGS973 sp900547295	76.24	7.63	0	1.86	3.203	1748	27	0	0	1	FALSE	FALSE	97.2117	FALSE
bushbuckridge_24	5_sub	Bushbuckridge	Methanomassiliicoccales archaeon Mx-06	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp006954465	78.16	4.97	14.29	1.53	2.474	1777	36	0	0	0	TRUE	FALSE	97.1729	FALSE
bushbuckridge_24	50	Bushbuckridge	uncultured Clostridiales bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__SFHK01;s__SFHK01 sp004556395	83.8	2.71	0	2.9	5.902	2686	35	0	0	0	FALSE	FALSE	98.6021	FALSE
bushbuckridge_24	98	Bushbuckridge	Ruminococcus sp. CAG:724	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-724;s__CAG-724 sp003524145	88.81	0	0	1.8	44.742	1607	37	0	0	0	TRUE	FALSE	98.8415	FALSE
bushbuckridge_24	bin.10	Bushbuckridge	Unclassified	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__CAG-1024;s__CAG-1024 sp000432015	96.21	0.81	0	2.1	101.341	1979	38	0	0	0	TRUE	FALSE	98.9375	FALSE
bushbuckridge_24	bin.13	Bushbuckridge	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__F23-B02 sp900545805	89.9	0	0	1.75	19.487	1654	35	0	0	2	TRUE	FALSE	98.7638	FALSE
bushbuckridge_24	bin.17	Bushbuckridge	Akkermansia muciniphila	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.96	0	0	2.71	63.943	2336	46	0	0	0	FALSE	FALSE	99.9123	FALSE
bushbuckridge_24	bin.25	Bushbuckridge	Unclassified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000432515	94.11	1.93	20	2.7	25.651	2089	37	0	0	0	FALSE	FALSE	97.0414	FALSE
bushbuckridge_24	bin.26	Bushbuckridge	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__	88.37	2.66	18.18	2.45	25.3	2223	39	1	0	1	TRUE	FALSE	98.802	FALSE
bushbuckridge_24	bin.27	Bushbuckridge	Christensenellaceae bacterium Phil1	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__Phil1;s__Phil1 sp001940855	91.24	0	0	1.8	11.86	1669	23	0	0	0	FALSE	FALSE	97.9096	FALSE
bushbuckridge_24	bin.3	Bushbuckridge	Clostridiales bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__CAG-349;s__CAG-349 sp003539515	89.84	0.7	0	1.41	18.192	1255	33	0	0	1	FALSE	FALSE	98.0335	FALSE
bushbuckridge_24	bin.39	Bushbuckridge	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA1777;s__	83.39	0	0	1.87	85.26	1740	36	0	0	1	FALSE	FALSE	98.9105	FALSE
bushbuckridge_24	maxbin.001	Bushbuckridge	Alistipes sp. CAG:514	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000431015	96.27	2.78	30	3.37	87.056	2702	54	5	14	4	FALSE	FALSE	98.1903	FALSE
bushbuckridge_24	maxbin.002	Bushbuckridge	Clostridium sp. CAG:413	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp000431775	97.05	0	0	2.29	304.367	2011	38	0	0	1	TRUE	FALSE	98.4867	FALSE
bushbuckridge_25	42	Bushbuckridge	Eubacteriaceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003438075	95.97	0.34	0	2.02	7.067	1825	19	0	0	0	FALSE	FALSE	99.2005	FALSE
bushbuckridge_25	44	Bushbuckridge	uncultured Ruminococcus sp.	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-353;s__CAG-353 sp900066885	97.99	0	0	2.6	10.849	2397	33	0	0	1	FALSE	FALSE	99.4722	FALSE
bushbuckridge_25	57	Bushbuckridge	Sutterella wadsworthensis HGA0223	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis	100	0.62	0	2.87	46.041	2339	51	1	0	0	TRUE	FALSE	98.9815	FALSE
bushbuckridge_25	bin.11	Bushbuckridge	Phocaeicola plebeius	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola plebeius_A	97.38	0.93	75	3.69	72.349	3021	42	0	0	0	TRUE	FALSE	99.6824	FALSE
bushbuckridge_25	bin.31	Bushbuckridge	Lachnospiraceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066365	99.52	0.97	0	3.13	81.477	2837	42	0	1	0	TRUE	TRUE	98.2832	FALSE
bushbuckridge_25	maxbin.005	Bushbuckridge	Enterobacter cloacae	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter himalayensis	99.31	0.46	0	4.8	113.414	4496	62	0	0	1	TRUE	FALSE	99.8724	FALSE
bushbuckridge_25	maxbin.007	Bushbuckridge	Roseburia faecis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis	92.17	2.29	14.29	2.47	18.892	2184	32	0	0	0	FALSE	FALSE	98.8243	FALSE
bushbuckridge_25	maxbin.009_sub	Bushbuckridge	Unclassified	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A;s__Butyrivibrio_A sp000431815	94.23	0.31	20	2.21	17.556	1973	32	0	0	0	FALSE	FALSE	98.5149	FALSE
bushbuckridge_26	105	Bushbuckridge	Dialister sp.	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp000434475	93.03	1.27	0	1.87	3.734	1594	19	0	0	0	FALSE	FALSE	97.0364	FALSE
bushbuckridge_26	23_sub	Bushbuckridge	Clostridiales bacterium UBA643	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Mogibacterium;s__Mogibacterium sp002299625	81.89	0.59	50	1.5	3.219	1336	29	0	0	0	FALSE	FALSE	96.962	FALSE
bushbuckridge_26	38	Bushbuckridge	Succinatimonas sp. UBA2849	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp000431835	91.29	0.29	0	2.1	5.229	1767	24	0	0	0	FALSE	FALSE	98.8661	FALSE
bushbuckridge_26	62_sub	Bushbuckridge	Prevotellaceae bacterium	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__Prevotellamassilia sp900540885	78.76	0.56	0	2.07	4.975	1537	19	0	0	1	FALSE	FALSE	98.1318	FALSE
bushbuckridge_26	71	Bushbuckridge	Escherichia coli	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	99.97	0.33	0	4.81	321.168	4471	61	0	0	0	TRUE	FALSE	99.8958	FALSE
bushbuckridge_26	bin.17	Bushbuckridge	Christensenellaceae bacterium Phil1	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__Phil1;s__Phil1 sp001940855	95.7	2.02	66.67	1.8	10.589	1684	40	0	0	0	FALSE	FALSE	98.7556	FALSE
bushbuckridge_26	bin.27	Bushbuckridge	Clostridiales bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__CAG-349;s__CAG-349 sp003539515	87.74	0.7	0	1.32	17.718	1178	22	0	0	0	FALSE	FALSE	98.1789	FALSE
bushbuckridge_26	bin.29_sub	Bushbuckridge	uncultured bacterium	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__RUG572;s__RUG572 sp900547945	91.22	0.87	0	3.5	19.397	2496	45	0	2	1	TRUE	FALSE	98.3637	FALSE
bushbuckridge_26	bin.32	Bushbuckridge	Elusimicrobia bacterium UBA5880	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__UBA1436;s__UBA1436 sp900541355	96.63	0	0	1.48	60.965	1368	45	1	1	0	FALSE	FALSE	98.2475	FALSE
bushbuckridge_26	bin.43	Bushbuckridge	uncultured Clostridiales bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525	81.77	6.88	50	1.49	8.678	1425	18	0	0	0	FALSE	FALSE	98.7877	FALSE
bushbuckridge_26	bin.7	Bushbuckridge	Unclassified	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-977;g__UBA2903;s__	77.74	0.54	50	1.75	31.211	1665	45	0	0	0	FALSE	FALSE	98.8576	FALSE
bushbuckridge_26	maxbin.003	Bushbuckridge	Prevotella sp. CAG:873	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp900540625	95.85	0	0	2.73	52.317	2252	42	0	0	0	TRUE	FALSE	96.251	FALSE
bushbuckridge_26	maxbin.007	Bushbuckridge	Unclassified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000433355	91.11	4.05	50	3.81	38.597	3017	58	3	18	4	FALSE	FALSE	98.4549	FALSE
bushbuckridge_26	maxbin.014	Bushbuckridge	uncultured Erysipelotrichaceae bacterium	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA733;s__	96.63	0	0	1.85	25.761	1563	54	1	0	0	TRUE	FALSE	96.7756	FALSE
bushbuckridge_27	10_sub	Bushbuckridge	Faecalibacterium prausnitzii SL3/3	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	80.98	5.78	100	2.29	6.635	2135	43	0	0	0	FALSE	FALSE	97.2533	FALSE
bushbuckridge_27	17_sub	Bushbuckridge	Prevotella copri DSM 18205	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri	99.32	2.37	30	3.87	50.845	3242	48	0	0	1	FALSE	FALSE	96.5242	FALSE
bushbuckridge_27	40	Bushbuckridge	Clostridium sp. CAG:138	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	90.58	1.7	25	1.86	8.734	1618	30	0	0	0	FALSE	FALSE	98.8923	FALSE
bushbuckridge_27	46	Bushbuckridge	uncultured bacterium	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__RUG841;s__	90.31	0.85	0	1.88	9.014	1686	26	0	0	0	TRUE	FALSE	98.657	FALSE
bushbuckridge_27	5_sub	Bushbuckridge	Unclassified	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA10281;s__UBA10281 sp900548285	83.82	4.03	60	2	3.52	1574	12	0	0	0	FALSE	FALSE	98.0445	FALSE
bushbuckridge_27	8	Bushbuckridge	Ruminococcus champanellensis 18P13 = JCM 17042	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_F;s__Ruminococcus_F champanellensis	94.46	1.68	33.33	2.02	8.487	1839	20	0	0	0	FALSE	FALSE	99.6876	FALSE
bushbuckridge_27	bin.12	Bushbuckridge	uncultured Ruminococcus sp.	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-353;s__CAG-353 sp900066885	97.99	0	0	2.62	42.347	2454	33	0	0	0	FALSE	FALSE	98.6084	FALSE
bushbuckridge_27	bin.15	Bushbuckridge	Oscillibacter sp.	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp900555735	87.19	0.67	0	2.32	35.397	2243	29	0	0	1	TRUE	FALSE	99.4296	FALSE
bushbuckridge_27	bin.16	Bushbuckridge	Unclassified	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__CAG-1024;s__CAG-1024 sp000432015	75.81	3.47	0	1.7	9.583	1565	18	1	1	1	FALSE	FALSE	98.9755	FALSE
bushbuckridge_27	bin.26	Bushbuckridge	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003538135	97.27	0	0	2.22	58.673	1979	48	0	0	2	FALSE	FALSE	99.0629	FALSE
bushbuckridge_27	maxbin.001	Bushbuckridge	Succinatimonas sp. CAG:777	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp000431835	99.38	0.29	0	2.42	147.587	2075	52	1	1	0	FALSE	FALSE	98.7968	FALSE
bushbuckridge_27	maxbin.004_sub	Bushbuckridge	Unclassified	NA	84.79	0	0	1.67	103.379	1374	41	2	1	1	FALSE	FALSE	98.2623	FALSE
bushbuckridge_27	maxbin.014	Bushbuckridge	Unclassified	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__QALA01;s__	92.23	3.91	0	2.3	7.537	2045	30	1	0	1	TRUE	TRUE	97.83	FALSE
bushbuckridge_28	100	Bushbuckridge	Bacteroidales bacterium	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp003150235	85.5	1.7	20	2.78	4.1	2425	28	0	0	0	TRUE	FALSE	97.6552	FALSE
bushbuckridge_28	22_sub	Bushbuckridge	Unclassified	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UBA11512;s__UBA11512 sp003522145	80.12	1.34	50	1.44	3.163	1287	11	0	0	1	TRUE	FALSE	99.5208	FALSE
bushbuckridge_28	52	Bushbuckridge	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003538135	97.27	0	0	2.23	167.587	2000	42	1	1	1	FALSE	FALSE	98.714	FALSE
bushbuckridge_28	84	Bushbuckridge	Bacteroidales bacterium H9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-279;s__CAG-279 sp000437795	97.52	0	0	2.42	27.587	2029	43	1	0	0	FALSE	FALSE	98.4918	FALSE
bushbuckridge_28	94	Bushbuckridge	Prevotella stercorea	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella stercorea	97.75	0.74	50	2.57	27.79	2057	38	0	0	0	FALSE	FALSE	97.3154	FALSE
bushbuckridge_28	99	Bushbuckridge	Unclassified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900543975	92.15	1.12	50	2.95	8.78	2201	28	0	0	0	TRUE	FALSE	97.9852	FALSE
bushbuckridge_28	bin.14	Bushbuckridge	Bacteroidales bacterium 55_9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp900546065	87.84	2.64	0	2.14	9.262	1733	24	0	0	1	FALSE	FALSE	98.0418	FALSE
bushbuckridge_28	bin.25	Bushbuckridge	Unclassified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000432515	95.48	1.43	0	2.8	104.857	2186	43	0	0	0	FALSE	FALSE	97	FALSE
bushbuckridge_28	bin.29	Bushbuckridge	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003526955	86.58	0.34	0	1.49	7.385	1345	21	0	0	1	FALSE	FALSE	99.1595	FALSE
bushbuckridge_28	bin.37	Bushbuckridge	Lachnospiraceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066365	98.55	2.42	40	3.04	60.741	2725	52	0	0	0	FALSE	FALSE	98.5066	FALSE
bushbuckridge_28	bin.49	Bushbuckridge	Clostridiales bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__UBA11524;s__UBA11524 sp000437595	98.6	1.17	0	2.96	68.512	2504	45	0	0	1	FALSE	FALSE	99.3604	FALSE
bushbuckridge_28	bin.5	Bushbuckridge	Succinatimonas sp. UBA2849	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp000431835	98.79	0.29	0	2.23	17.164	1891	34	0	0	0	FALSE	FALSE	98.8584	FALSE
bushbuckridge_28	bin.50	Bushbuckridge	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp900539325	88.05	2.48	12.5	1.57	8.314	1379	17	0	0	0	FALSE	FALSE	97.9539	FALSE
bushbuckridge_28	maxbin.003_sub	Bushbuckridge	[Eubacterium] siraeum V10Sc8a	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum	98.99	0	0	3.29	55.399	2950	41	3	3	1	FALSE	FALSE	98.1087	FALSE
