MetaCyc Pathway	bushbuckridge_1	bushbuckridge_2	bushbuckridge_3	bushbuckridge_4	bushbuckridge_5	bushbuckridge_6	bushbuckridge_7	bushbuckridge_8	bushbuckridge_9	bushbuckridge_10	bushbuckridge_11	bushbuckridge_12	bushbuckridge_13	bushbuckridge_14	bushbuckridge_15	bushbuckridge_16	bushbuckridge_17	bushbuckridge_18	bushbuckridge_19	bushbuckridge_20	bushbuckridge_21	bushbuckridge_22	bushbuckridge_23	bushbuckridge_24	bushbuckridge_25	bushbuckridge_26	bushbuckridge_27	bushbuckridge_28	bushbuckridge_29	bushbuckridge_30	bushbuckridge_31	bushbuckridge_32	bushbuckridge_33	bushbuckridge_34	bushbuckridge_35	bushbuckridge_36	bushbuckridge_37	bushbuckridge_38	bushbuckridge_39	bushbuckridge_40	bushbuckridge_41	bushbuckridge_42	bushbuckridge_43	bushbuckridge_44	bushbuckridge_45	bushbuckridge_46	bushbuckridge_47	bushbuckridge_48	bushbuckridge_49	bushbuckridge_50	bushbuckridge_51	bushbuckridge_52	bushbuckridge_53	bushbuckridge_54	bushbuckridge_55	bushbuckridge_56	bushbuckridge_57	bushbuckridge_58	bushbuckridge_59	bushbuckridge_60	bushbuckridge_61	bushbuckridge_62	bushbuckridge_63	bushbuckridge_64	bushbuckridge_65	bushbuckridge_66	bushbuckridge_67	bushbuckridge_68	bushbuckridge_69	bushbuckridge_70	bushbuckridge_71	bushbuckridge_72	bushbuckridge_73	bushbuckridge_74	bushbuckridge_75	bushbuckridge_76	bushbuckridge_77	bushbuckridge_78	bushbuckridge_79	bushbuckridge_80	bushbuckridge_81	bushbuckridge_82	bushbuckridge_83	bushbuckridge_84	bushbuckridge_85	bushbuckridge_86	bushbuckridge_87	bushbuckridge_88	bushbuckridge_89	bushbuckridge_90	bushbuckridge_91	bushbuckridge_92	bushbuckridge_93	bushbuckridge_94	bushbuckridge_95	bushbuckridge_96	bushbuckridge_97	bushbuckridge_98	bushbuckridge_99	bushbuckridge_100	bushbuckridge_101	bushbuckridge_102	bushbuckridge_103	bushbuckridge_104	bushbuckridge_105	bushbuckridge_106	bushbuckridge_107	bushbuckridge_108	bushbuckridge_109	bushbuckridge_110	bushbuckridge_111	bushbuckridge_112	bushbuckridge_113	bushbuckridge_114	bushbuckridge_115	bushbuckridge_116	bushbuckridge_117	bushbuckridge_118	soweto_1	soweto_2	soweto_3	soweto_4	soweto_5	soweto_6	soweto_7	soweto_8	soweto_9	soweto_10	soweto_11	soweto_12	soweto_13	soweto_14	soweto_15	soweto_16	soweto_17	soweto_18	soweto_19	soweto_20	soweto_21	soweto_22	soweto_23	soweto_24	soweto_25	soweto_26	soweto_27	soweto_28	soweto_29	soweto_30	soweto_31	soweto_32	soweto_33	soweto_34	soweto_35	soweto_36	soweto_37	soweto_38	soweto_39	soweto_40	soweto_41	soweto_42	soweto_43	soweto_44	soweto_45	soweto_46	soweto_47	soweto_48	soweto_49	soweto_50	soweto_51
PWY-5484: glycolysis II (from fructose 6-phosphate)	183.657	237.539	82.1173	433.816	165.189	351.709	327.592	432.802	244.364	317.285	207.954	279.777	313.068	266.135	397.18	284.507	388.601	181.774	256.025	227.259	324.472	168.418	336.863	359.992	238.597	286.291	256.429	307.334	243.614	229.303	338.922	174.761	242.529	191.238	260.364	163.537	196.148	132.354	290.494	286.727	251.981	204.813	307.639	244.79	304.164	143.449	234.814	194.871	267.056	271.036	202.705	274.334	97.3492	337.649	359.246	333.844	246.724	331.79	364.793	405.951	191.736	114.435	228.117	200.19	172.586	285.691	315.485	211.469	223.059	105.386	196.197	155.664	0	92.1775	104.377	301.661	376.196	203.883	254.664	278.995	358.712	298.392	149.568	102.461	260.092	294.165	339.613	235.494	210.657	123.752	310.43	308.524	170.898	227.48	129.43	409.027	268.949	285.87	210.513	293.785	236.281	287.185	124.517	277.636	308.983	326.442	155.378	274.939	356.698	200.863	259.054	266.951	289.85	401.898	110.017	104.348	290.607	305.815	100.464	268.989	250.81	149.529	287.603	291.656	93.2798	121.027	804.501	285.209	196.234	180.967	313.17	272.296	406.661	328.988	409.491	366.075	231.513	339.455	354.493	383.635	340.47	313.188	391.147	250.413	235.764	408.369	280.731	138.694	225.235	249.286	384.401	314.571	355.631	374.988	349.271	223.332	365.033	352.7	376.709	331.293	369.62	388.146	261.266	218.209	369.413	336.06	248.372	330.001	438.148
PWY-5505: L-glutamate and L-glutamine biosynthesis	88.993	126.871	91.9085	162.503	100.106	73.7918	101.814	95.5437	68.7264	55.7709	76.3888	83.3896	163.805	108.305	65.8905	88.633	41.076	125.286	88.5853	36.2696	132.307	97.8598	77.4259	49.7368	98.1712	85.5466	96.5591	87.8017	81.3271	66.7803	103.578	63.5502	86.5081	116.901	78.7421	100.996	99.2698	76.123	87.2592	115.245	97.1838	92.9115	89.2588	120.241	69.8884	57.0585	75.9887	70.3066	96.5666	121.788	103.108	104.036	76.0616	76.8121	38.699	56.4298	81.7417	61.6369	103.169	63.6333	93.6303	93.7128	113.419	115.232	112.945	89.6741	85.1287	88.9387	78.5349	89.1623	96.1297	102.608	0	83.2007	53.1922	103.211	41.6092	86.5535	104.781	79.9463	160.506	98.3672	67.0996	34.2872	126.397	49.7782	64.6233	65.8408	105.351	106.392	112.861	126.288	80.4362	120.126	70.2758	69.9265	133.988	70.307	109.145	59.4934	97.1607	116.859	89.7887	121.867	100.738	118.665	80.8413	163.482	78.336	82.3716	111.567	114.243	90.9061	119.794	80.0952	80.3815	98.4571	73.1083	126.74	116.285	38.6759	118.95	105.732	65.1343	56.73	117.714	0	74.4227	86.8298	114.516	50.2272	104.466	83.2787	64.3219	101.742	81.5973	121.413	40.3282	103.37	79.2813	62.3417	62.9228	81.6718	108.95	42.7492	79.4341	57.5984	102.212	93.9012	133.05	73.9737	139.653	132.838	59.0985	91.0209	95.8626	107.165	82.3975	160.403	80.9091	95.6664	85.772	97.7272	105.743	79.2858	115.599	58.4286	82.7301	41.9522
PWY-5509: adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5176	0	0	0	0	0	10.2731	0	0	0	0	5.68595	0	0	0	0	0	1.81667	0	0	9.77807	0	3.68135	0	0	0	0.723481	0	0	3.19039	10.3105	0	0	0	0	0	0	0	0	5.61029	1.17706	0	0	0	0	2.15163	0	0	5.32767	0	0	0	10.9037	0	0	2.70516	0	0	2.44782	0	0	10.0277	0	0	0	0	0.993346	2.94139	3.36987	0	0	0	0.719833	3.3647	0	0	0	1.99119	0	0	2.05459	0.979996	0	11.015	0	0	0	0	0	0	0	0	0	17.9344	0	0	0	0	0	6.27319	0	10.7554	0	2.3697	0	0	0	0	0	0	0	0	3.70516	0	0	0	0	0	0	0	0	0	0	0	0	3.44269	0	0	0	0	0	0	0	18.3407	0	24.0746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II	0	0	0	0	0	0	0	7.89407	0	0	0	0	1.9564	0	0	0	0	0	0	0	1.36869	0	0	0.724222	0	0	0	0	1.98343	0	0	0	2.98572	0.68895	0	0	0	0.54146	0.746879	0	0	0.288424	1.1733	0	0	0	0	0	0	0	0	0	0	0	0	0.87817	0	0	0	0	0	0	2.1222	0	1.1652	0	0	0	0	0	1.85675	0	0	0	0	0	0.569009	0	0	0.619096	0	0	0	0	0	0.254593	0	0.447566	0	4.81988	0.189884	0	2.33214	0	0	0	0	0.773247	0	0	0	0	0	0	0.62133	0	0	5.34887	0	0	0	11.2715	0	0	0	0	0	0.468078	1.68831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33116	0	0	0	0	0.884547	0	2.21794	0	0	1.96159	1.21164	0	2.00946	0	0	2.23636	0	0	0	0	9.32698	0	0	0	0	0	0	2.17175
PWY-5532: adenosine nucleotides degradation IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59289	0	0	0	0	2.72799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.974959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5534: propylene degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12469	0	0	0	0	0	0	0	0	0	0	2.57997	0	0	0	0	0	0	0	0	0.186278	0	0.331236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.412022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.85512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	0	33.5792	0	0	38.4038	5.9747	0	0	24.2993	123.541	23.3279	71.3325	4.57404	0	0	4.41741	9.74845	8.35353	46.1769	8.69669	161.195	10.1867	48.5566	12.3808	82.9902	118.989	10.7284	8.06808	13.0262	134.941	0	9.68512	0	6.77677	105.277	58.5538	18.3327	0	30.4162	6.89175	65.3532	81.5041	13.5386	14.3277	15.9684	9.83264	32.7146	112.289	25.476	12.9742	0	13.1883	7.46572	0	59.519	0	10.4915	52.616	29.8708	14.5265	2.75764	6.31617	49.3633	25.5059	36.9395	2.108	54.953	15.376	11.4711	10.5934	89.7314	12.0167	0	20.3137	3.97355	22.6361	26.191	4.49438	5.89241	27.615	8.18633	9.98445	0	0	7.31476	120.897	96.4074	8.78821	40.5072	3.45096	4.33177	184.617	19.2784	2.65687	13.521	15.6383	84.1771	4.3643	71.6549	73.4934	3.20335	44.113	0	55.8136	5.67519	31.4934	24.0896	5.39425	13.5546	54.2006	0	64.1486	11.546	0	0	35.9869	15.7636	33.8017	0	64.2801	19.5228	33.4711	0	12.6751	0	23.1364	0	0	61.9264	0	28.9059	9.47495	14.7349	22.4525	0	2.64997	0	25.4525	0	0	0	50.8537	0	68.399	71.8873	0	14.593	0	0	0	5.88003	143.635	0	140.736	0	14.2601	8.48359	0	24.4548	0	0	0	0	0	7.12709	0	40.571	0	14.6875
PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0888777	0	3.44044	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23553	0.75648	0	0	0	0	0.561341	0	0	0	0	0	0	0	0	0	0	0	0	0	0.369706	0	0	0.341049	0	0	0	0	0	0	0	0	0.437427	0	0	0	0.380467	0	0	1.63041	0	0	0.176591	0.284812	0	0	0	0	0	0	0	0.11939	0	0	0	0	0	0.0222338	0	0	0	0	0.0476466	0	0.665368	0.325721	0	0	0	0	0	0	0	0	0	0	0	0.729749	0	0	0	0	0	0.492969	0	0	0	2.12778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.40554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5656: mannosylglycerate biosynthesis I	0	3.82874	0	0	7.23643	0	0	0	0	67.6369	9.42005	23.3763	2.84234	0	0	0	1.8319	0	1.33495	0	33.3847	3.51586	20.917	0	3.26532	46.0269	0	3.80586	0	32.4167	0	0.445717	0	4.78079	46.7345	0	0	0	11.446	0	2.74959	28.9414	0	7.74236	1.94958	1.4319	0	0	7.25849	0	0	4.03248	0	0	1.40084	1.9469	1.76308	12.8662	8.19768	0	2.27601	0	20.1476	7.48773	5.5911	0	3.66016	4.60989	3.02304	0	0	5.13864	0	0	0	6.2102	1.84545	0	2.76909	4.13372	0	0	0	0	0	46.9909	23.2806	0	13.9491	0	0	73.3708	3.38155	1.9711	2.52269	2.60768	24.5631	0	1.66459	5.31953	0	8.03513	0	20.3764	0	2.57981	5.15204	0	6.7139	0.201246	0	0	0	0	0	9.27987	3.69314	4.81271	0	27.8934	3.02463	0	0	5.36807	0	0	0	0	7.17552	3.28951	10.3467	0	3.83073	0	7.35149	0	0	0	0	0	0	11.452	0	18.1001	31.3162	0	0	0	0	0	0	3.82326	0	6.10958	0	0	0	2.22841	6.51825	0	3.18947	6.16299	2.11446	0	9.64602	0	9.1333	0	0
PWY-5659: GDP-mannose biosynthesis	69.6107	116.26	49.6975	29.5006	51.6492	100.401	165.638	78.6683	90.7559	112.026	84.0354	138.827	93.188	122.207	48.9672	93.4685	35.6456	51.2363	93.7913	249.034	109.545	59.2452	53.2422	28.5099	134.093	134.214	91.9903	95.9269	63.162	80.9099	87.3247	84.4835	146.001	54.8493	106.887	69.4032	64.3857	47.2389	154.86	100.883	123.76	72.8789	133.604	180.374	140.314	61.0527	142.118	131.395	37.1633	46.6316	61.1032	58.2726	88.6703	38.2492	44.3826	25.036	66.6022	86.0388	58.3779	60.5501	62.7231	64.5073	84.538	78.4625	89.4126	92.5905	148.659	81.8368	49.7561	43.5176	90.726	61.1464	0	63.1015	33.4396	80.6162	34.2185	60.5422	57.9391	61.8471	34.9755	53.838	51.4851	28.0649	46.8771	131.313	61.9966	68.495	70.6916	76.4676	57.9311	133.249	71.3529	54.2471	88.5958	75.2603	110.977	78.0665	77.1897	65.749	83.195	57.021	63.0542	89.1454	45.5994	56.583	68.0927	157.066	130.554	46.4731	51.7367	90.5562	46.0035	77.1292	22.4133	61.1672	97.6505	65.3567	100.745	93.383	175.489	96.9093	156.626	155.882	44.9466	62.6688	82.8661	68.8864	76.1049	44.1239	222.285	92.7601	138.375	91.6443	121.162	131.173	87.3929	30.7599	237.27	37.806	115.746	122.71	83.8468	201.252	115.37	153.584	188.897	44.5685	42.2652	84.1524	91.043	118.641	98.3966	135.986	61.2975	85.2059	185.66	103.732	151.09	80.6549	164.998	20.6464	44.0157	36.9422	93.3848	90.799	172.5	110.679	43.3509
PWY-5667: CDP-diacylglycerol biosynthesis I	307.058	322.831	201.545	176.8	436.761	301.647	471.087	518.252	335.697	280.429	401.864	377.356	427.406	528.203	196.921	453.561	169.449	386.105	361.065	626.322	442.386	219.352	235.988	266.107	408.749	376.198	372.285	396.841	404.733	380.049	535.312	308.585	471.832	232.641	376.673	280.927	233.136	250.807	494.994	359.913	403.563	368.312	527.679	498.409	474.268	189.726	492.45	402.471	286.214	375.378	372.078	369.582	430.999	172.752	202.249	232.792	505.854	304.682	286.589	264.85	429.778	240.541	382.782	366.871	359.674	387.616	420.67	329.37	331.715	187.487	265.717	221.542	0	295.069	248.204	308.598	334.296	347.952	363.092	390.601	303.547	259.565	200.559	362.262	378.205	343.717	330.117	317.685	357.508	518.012	236.455	380.153	253.797	364.753	459.003	315.655	368.936	475.786	304.793	305.161	393.15	288.271	1112.07	472.124	233.691	175.675	398.119	396.815	345.977	360.776	401.506	324.876	320.161	240.936	184.035	204.017	452.116	331.072	323.376	278.069	444.394	289.409	444.842	386.496	362.734	250.294	316.948	371.996	402.099	379.205	440.501	363.048	446.868	309.172	419.675	435.045	305.75	155.391	476.426	143.048	395.575	415.815	286.57	518.237	359.401	485.15	488.83	189.4	295.713	342.753	490.114	347.061	508.227	324.887	362.089	295.482	420.683	367.745	485.578	376.978	473.049	86.2338	310.352	313.236	322.048	393.382	453.141	410.968	266.758
PWY-5675: nitrate reduction V (assimilatory)	1.42033	27.138	0	0	34.0853	16.3671	2.32454	3.7379	32.4672	146.831	12.7133	84.6079	0	0	0	9.00214	3.90195	3.02877	33.8774	10.1412	184.504	21.9747	26.5031	18.5676	80.0637	159.442	5.16006	15.744	3.02703	144.207	0.708725	1.9204	1.68425	8.25885	139.106	75.5948	13.6737	4.6222	21.637	7.02197	62.6053	87.326	6.77246	14.6921	6.91818	7.80639	45.8122	76.4076	9.06902	10.8611	0	7.12656	7.05236	3.02765	62.8406	9.07192	10.584	44.2551	27.2991	12.1944	8.63842	3.05112	90.7005	21.4385	27.0367	3.47188	56.2912	9.99927	15.6059	2.59024	95.3387	3.61106	0	17.8888	11.778	14.1021	13.4062	13.655	3.54323	30.4954	5.56071	8.10646	0	0	13.5901	134.62	120.093	11.1756	57.2768	1.86578	8.65748	141.333	49.8501	3.77804	10.8478	13.8871	125.489	0.352579	83.5478	87.0162	0	78.9078	1.49413	25.1592	9.47642	51.6093	7.62114	1.31226	17.1494	11.2711	5.89456	49.8672	6.73758	5.90075	2.8627	61.3244	7.53756	20.4709	0	72.5438	17.4289	32.1716	0	11.2935	0	25.4146	0	0	42.8609	9.08948	37.0327	16.3309	26.6652	4.67179	7.61933	1.42275	0	30.9261	1.71966	0	0	79.2563	0	66.3748	83.6561	0	15.8575	14.6637	0	0	9.14264	139.359	0	65.0586	0	3.31652	11.3001	0	34.7985	1.03509	5.01976	0	9.73276	20.6716	14.2989	0	25.0452	0.231969	4.45452
PWY-5676: acetyl-CoA fermentation to butanoate II	0.721012	11.5871	5.64618	2.08203	27.1693	42.5969	13.3124	13.7739	16.9077	113.666	39.1749	83.3823	1.26344	3.40734	4.27208	6.64209	4.33562	3.08239	24.2816	17.2082	201.064	11.4819	63.7663	36.5697	47.9372	130.43	17.5163	29.191	14.6436	107.758	14.1791	12.7736	7.62663	1.73278	134.12	17.693	7.04205	5.96688	34.4087	7.68635	41.9583	83.5035	27.5386	7.69053	25.1369	8.85421	89.1977	40.3708	0	8.20918	13.0618	17.5152	1.14467	5.33255	57.8897	14.3556	7.67552	35.3598	44.9651	16.5622	10.1764	5.41164	47.4219	17.1801	21.9347	4.0778	20.9098	15.0342	14.9309	1.90243	25.8081	0	0	3.48703	6.92498	26.5692	9.23881	4.72237	18.7966	28.263	3.19918	9.44999	1.20046	1.38451	10.6373	64.2418	93.9589	15.0691	34.2847	1.95995	3.48728	165.096	13.9511	11.0327	18.3952	28.9492	95.8968	9.665	27.4053	33.8679	6.59768	40.6384	1.21639	27.7643	5.32728	30.621	17.3402	9.94038	79.0525	39.2782	25.5449	50.0739	14.5352	39.8598	3.35913	29.5157	33.5031	46.9282	12.3284	59.8601	45.6452	4.28231	9.9659	14.261	0	4.06166	0	3.3445	10.6394	1.39226	26.1336	16.2016	6.50205	18.1039	12.4724	29.1835	2.70184	16.205	12.2286	9.80741	54.4647	39.5309	40.5936	60.8912	56.1044	17.0372	13.795	2.61454	4.90672	7.20701	6.13647	39.0435	15.1431	53.5178	46.4653	6.99596	24.6743	15.7097	23.3145	3.55989	48.4396	6.873	7.83493	0	24.5999	3.04726	12.1114	22.7283	21.9512
PWY-5677: succinate fermentation to butanoate	0	0	0	0	0	0	0	0	0	3.46394	0	0	0	0	0	0	1.08131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.706655	1.34107	0	3.23995	0	0	0	0	0	0	0	0	0	0	0	0	3.20025	1.80245	0	1.84349	2.35389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.53732	6.59403	0	0	0	0	0.46164	2.79798	0	0	0	0	0	0	0	0	0	0	0	0	3.11729	0	0	10.0321	0	0	1.23243	0	0	0	0	0.486512	1.59388	0	0	8.72158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5686: UMP biosynthesis	816.17	786.064	967.152	797.142	623.727	677.954	723.096	629.456	588.236	384.035	652.187	593.66	858.168	790.148	743.7	861.18	410.91	772.4	619.41	749.266	499.668	883.078	572.968	653.166	540.328	457.494	713.778	743.151	728.715	596.424	818.335	746.301	751.038	795.808	576.588	642.11	719.372	852.233	684.534	681.705	586.92	630.282	789.528	592.206	634.524	1221.11	607.472	558.232	711.223	900.875	706.267	807.529	795.223	538.949	603.39	705.799	831.802	555.28	659.749	548.626	855.834	937.051	686.989	703.087	729.109	674.498	500.738	716.458	669.19	849.681	525.626	880.316	0	974.958	1077.65	708.912	636.092	781.095	684.594	722.932	851.59	759.757	784.549	1033.37	888.397	406.89	558.296	1016.8	917.889	857.745	690.876	365.986	741.21	756.102	826.961	660.49	568.095	722.466	730.978	506.893	836.781	686.481	940.413	717.101	798.874	590.197	921.304	800.57	588.327	985.868	754.284	719.632	790.473	709.507	1038.36	941.071	748.674	619.552	1023.34	613.38	526.406	730.317	670.438	606.83	1206.84	943.527	356.584	736.808	994.847	827.169	614.64	876.027	642.536	615.992	704.348	654.114	735.604	591.089	565.621	639.221	837.461	556.218	700.799	667.155	505.621	590.02	581.939	939.963	866.705	781.635	719.49	649.54	701.965	506.266	737.04	864.558	713.768	751.324	705.227	667.201	595.896	666.873	818.453	854.163	598.176	735.073	536.679	680.577	633.417
PWY-5690: TCA cycle II (plants and fungi)	134.081	155.577	208.865	113.397	90.4942	70.6416	76.5545	51.829	75.6016	121.987	63.3072	132.615	60.7419	88.5484	50.4734	161.442	89.4199	28.193	168.099	68.1695	127.258	86.1413	105.586	104.201	91.7997	161.433	183.551	92.1925	49.3236	120.324	81.7912	125.255	62.1439	149.812	91.8767	120.937	164.3	15.7738	103.192	71.2539	110.572	114.776	62.1966	82.6693	122.396	30.9757	73.4881	137.364	137.786	84.526	45.372	52.2084	29.457	95.1569	85.6278	55.6312	46.2366	109.335	81.6449	76.9112	125.463	55.6926	90.0755	149.066	151.754	127.109	93.7976	61.3754	72.8985	251.429	97.2282	53.3617	0	40.1268	92.3256	107.258	265.62	87.6143	108.073	197.856	66.9818	130.006	179.494	27.1386	89.4972	117.349	101.11	56.9973	70.8411	116.794	133.194	175.549	162.856	49.8354	54.7786	265.183	94.7309	57.5177	79.3151	109.817	93.8893	90.8587	86.4807	89.3197	99.6388	68.0978	69.4062	50.132	87.0466	59.5123	151.77	100.995	62.3956	98.2456	205.294	72.0905	75.0406	74.9208	55.2793	75.9138	48.1838	66.4592	81.1507	60.6898	26.0184	53.0169	0	26.507	73.0513	42.0525	53.6756	59.657	159.236	77.3605	80.445	53.556	167.617	99.707	60.6331	49.6663	48.1132	131.41	73.5142	72.8322	90.7659	33.8817	77.2468	40.1813	28.3406	28.9086	70.2384	163.372	22.5882	185.051	81.7287	53.1573	69.409	150.334	82.1827	45.4308	80.3938	90.0227	98.8878	29.8244	44.4431	66.2719	90.5489	80.3258	67.0921
PWY-5692: allantoin degradation to glyoxylate II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.825	0	0.279786	0	0.281616	6.57617	0	0	0	1.3982	0	0	0	0	1.71532	0	0	0	0.306446	0	0	5.18869	0	0.20579	0.143523	0	0	0	0	0	0	0	0	0	0	0	0	0.275342	0	0.855421	0	0	0.348862	0.338764	0.222683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.31386	5.67952	0	0.353733	0	0	1.77744	0.241792	0	0.311413	0	4.89505	0	0	0.165536	0	0.396189	0	0.332788	0	0	0.310871	0	0.190257	0	0	0	0	0	0	0.318216	0.204408	0	0	0.510975	0	0	0	0	0	0	0	0	0	0	0.738583	0	0	0	0	0	0	0	0	0	0	0	0	0.626826	0	0	0	0	0	0	0	0	0	0	0	0	0.898419	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	628.937	532.445	754.811	725.522	411.317	524.198	490.303	466.559	349.523	435.458	359.632	405.586	714.143	436.276	328.612	493.909	406.688	704.065	410.597	760.887	504.206	721.876	444.054	406.121	487.571	555.983	526.014	450.963	582.305	577.698	669.275	607.271	495.598	585.167	518.347	638.575	578.774	793.259	488.375	505.47	477.327	517.848	575.159	583.591	519.108	1053.65	576.806	464.591	574.504	608.013	640.591	606.986	631.992	311.187	416.544	458.608	609.304	423.872	494.912	497.616	608.719	848.433	571.887	525.47	535.452	451.252	470.423	637.248	607.425	530.912	523.503	697.174	0	869.489	846.688	544.308	387.1	594.349	422.938	421.19	683.383	416.511	632.131	849.207	609.543	482.549	476.963	764.781	724.13	459.49	455.596	484.812	506.845	637.716	639.595	402.796	496.211	443.935	598.667	461.316	522.277	478.278	696.543	510.668	523.133	342.57	718.343	485.994	479.717	755.464	458.396	577.556	653.376	498.533	737.631	707.701	560.066	638.982	737.551	511.686	667.915	670.635	356.365	546.504	967.362	765.233	142.985	348.914	923.175	789.95	615.358	578.839	597.873	493.984	597.184	508.931	435.954	432.515	616.79	484.042	556.851	484.543	438.148	595.407	559.766	738.796	599.479	897.588	681.844	596.59	556.661	639.153	589.168	444.935	569.007	828.736	560.412	403.149	633.441	626.622	558.383	531.45	595.73	627.952	480.208	445.151	466.221	447.912	432.962
PWY-5705: allantoin degradation to glyoxylate III	0	0	0	0	0	0	0	0	0	30.5694	0	8.94033	0	0	0	0	0	0	0.265504	0	25.3118	0	0.417654	0	2.21207	25.2447	0.834692	0	0.547173	9.82285	0	0	0	0	28.3871	2.13638	0	0	2.90694	0	4.7625	17.4694	0	0.426276	0.355177	0.729221	5.01685	0	0	0.279821	0	3.46233	0	0	1.04682	0	0	4.75318	2.82908	0.845705	1.79819	0	5.87541	2.58998	1.07123	0	0	0.268356	0	0	13.1373	0	0	0	0	0	0	0	0.264512	0	0.602796	0	0	0	0	15.2166	19.2437	0.368594	4.00301	0	0	38.1761	1.81851	0	0.462093	0.901288	16.2244	0	0	0.396236	0.26858	6.58018	0	5.5584	0	0	0.485256	0	2.60498	0.956815	0	0	0	0	0	3.03047	1.2841	0.784348	0	0.862307	0	2.25717	0	0	0	0	0	0	0	0	8.59608	0	0	0	0	0	0	0	0	0	0	1.1653	0	1.16437	7.45063	0	0.745567	0	0	0	0	1.38833	0	0	0	0	1.59544	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5723: Rubisco shunt	9.32166	22.3469	4.2653	29.2908	62.6874	13.9046	0	0	16.4651	199.464	28.71	93.4987	26.4449	15.453	20.9402	0	0	17.4154	41.5252	19.1168	272.283	25.2847	60.3955	17.2572	101.959	248.149	20.4907	5.63535	2.33626	206.738	23.8579	18.3361	0	21.1326	180.566	81.6316	35.9503	10.8778	40.4353	30.9361	71.3927	129.63	6.6633	17.9516	7.66587	18.9945	40.4642	100.665	41.2787	7.07248	14.9359	6.05522	23.6661	3.12099	57.6183	2.84606	23.9672	53.868	15.494	12.3488	13.4083	21.9443	66.993	23.798	35.0101	5.38901	67.6347	20.0385	7.45005	35.5043	109.199	34.344	0	31.9209	30.2929	29.9385	31.964	12.5317	9.9981	34.5955	42.0079	4.20427	17.4755	8.18902	12.4015	180.986	105.973	11.2153	41.5697	12.4168	5.96849	277.133	27.5164	3.98427	26.9483	16.6995	114.709	3.69089	103.568	65.7993	3.38711	48.8305	27.6329	59.1786	24.0188	25.0616	26.6068	4.47567	13.0348	58.4974	11.2906	88.9316	10.8144	7.34305	32.6232	56.7445	13.2748	28.7413	24.663	101.768	28.6787	30.4981	3.99657	9.4418	22.4117	40.2533	0	1.58962	49.6191	9.7007	49.8581	13.8153	16.7686	11.5897	4.42617	0.837406	2.55946	34.8102	0	0	0	82.3814	0	46.0367	95.7366	0	11.8991	33.7318	6.27584	10.9928	0	170.572	11.6487	160.982	0	22.4154	6.35164	0	31.7456	4.1195	0	14.8422	16.1109	11.1901	9.33714	2.4228	35.8033	0	3.79259
