Sample	Bin	Genes	X..contigs.....0.bp.	X..contigs.....10000.bp.	X..contigs.....50000.bp.	X..contigs.....100000.bp.	X..contigs.....250000.bp.	X..contigs.....500000.bp.	X..contigs.....1000000.bp.	X..contigs.....2000000.bp.	X..contigs.....3000000.bp.	Total.length.....0.bp.	Total.length.....10000.bp.	Total.length.....50000.bp.	Total.length.....100000.bp.	Total.length.....250000.bp.	Total.length.....500000.bp.	Total.length.....1000000.bp.	Total.length.....2000000.bp.	Total.length.....3000000.bp.	X..contigs	Largest.contig	Total.length	N50	N75	L50	L75	X..N.s.per.100.kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.	Completeness	Contamination	Strain.heterogeneity	tRNA	rna.16S	rna.23S	rna.5S	Majority.Class	Majority.Fraction	Size.Mb	Final.Class	Coverage
B4	bin.30	4565	428	173	4	0	0	0	0	0	0	4992718	3567254	278977	0	0	0	0	0	0	428	91273	4992718	16637	9083	90	192	0	k__Bacteria (UID203)	5449	104	58	2	37	63	2	0	0	97.7	85.74	11.59	32	0	0	3	Firmicutes_bacterium	52.808	4.99	Firmicutes	18.0091885822512
B4	bin.31	972	259	2	0	0	0	0	0	0	0	1044358	21819	0	0	0	0	0	0	0	259	11034	1044358	3989	3081	91	166	0	k__Bacteria (UID203)	5449	104	58	75	28	1	0	0	0	41.85	0.16	0	3	0	0	0	Oscillibacter_sp.	58.568	1.04	Oscillibacter	11.3680845074199
B4	bin.32	2020	62	56	20	4	0	0	0	0	0	2518052	2476367	1582924	468175	0	0	0	0	0	62	138833	2518052	63102	34823	15	28	0	o__Bacteroidales (UID2617)	213	406	265	16	390	0	0	0	0	96.6	0	0	31	0	0	1	Prevotella_sp.	100	2.52	Prevotella_sp.	66.6142915237652
B4	bin.33	1881	324	70	0	0	0	0	0	0	0	2436252	1062565	0	0	0	0	0	0	0	324	34266	2436252	9165	5613	87	171	0	o__Bacteroidales (UID2617)	213	406	265	63	342	1	0	0	0	83.92	0.13	0	15	0	0	0	Porphyromonadaceae_bacterium	96.697	2.44	Porphyromonadaceae_bacterium	17.0348141325282
B4	bin.34	245	75	0	0	0	0	0	0	0	0	261551	0	0	0	0	0	0	0	0	75	7128	261551	3425	2933	31	51	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	NA	0	0	0	Clostridium_sp.	23.616	0.26	Clostridium	9.31137713103754
B4	bin.35	1996	295	74	0	0	0	0	0	0	0	2280605	1100592	0	0	0	0	0	0	0	295	38389	2280605	9805	5906	79	151	0	o__Clostridiales (UID1212)	172	263	149	78	181	4	0	0	0	82.55	1.57	0	11	0	0	0	Clostridium_sp.	73.515	2.28	Clostridium_sp.	13.7761471188566
B4	bin.36	829	232	2	0	0	0	0	0	0	0	949624	31412	0	0	0	0	0	0	0	232	16906	949624	4173	3210	83	148	0	k__Bacteria (UID203)	5449	104	58	76	27	1	0	0	0	38.79	0.86	0	6	0	0	0	Ruminococcus_sp.	86.83	0.95	Ruminococcus_sp.	9.3373271947634
B4	bin.4	1732	275	51	0	0	0	0	0	0	0	1941801	753703	0	0	0	0	0	0	0	275	44825	1941801	8213	5630	76	145	0	o__Clostridiales (UID1212)	172	263	149	17	245	1	0	0	0	91.05	0.22	0	13	0	0	1	Ruminococcus_sp.	87.668	1.94	Ruminococcus_sp.	14.651604361106
B4	bin.5	387	64	10	0	0	0	0	0	0	0	383410	131840	0	0	0	0	0	0	0	64	19144	383410	7600	4680	17	35	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	5	0	0	0	Faecalibacterium_prausnitzii	16.204	0.38	Faecalibacterium	14.5853003312381
B4	bin.6	212	45	1	0	0	0	0	0	0	0	205751	16700	0	0	0	0	0	0	0	45	16700	205751	5087	3300	14	28	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	NA	0	0	0	Clostridiales_bacterium	26.893	0.21	Clostridiales	9.5343400518102
B4	bin.7	195	60	0	0	0	0	0	0	0	0	211731	0	0	0	0	0	0	0	0	60	7922	211731	3416	2907	24	41	0	k__Bacteria (UID203)	5449	104	58	98	6	0	0	0	0	6.9	0	0	NA	0	0	0	Firmicutes_bacterium	86.001	0.21	Firmicutes_bacterium	9.22325970216926
B4	bin.8	2773	368	88	1	0	0	0	0	0	0	3059364	1666028	65564	0	0	0	0	0	0	368	65564	3059364	11532	6172	76	168	0	f__Lachnospiraceae (UID1286)	57	420	207	22	393	5	0	0	0	93.19	1.16	20	21	0	0	0	[Eubacterium]_rectale	83.176	3.06	[Eubacterium]_rectale	20.5331402213009
B4	bin.9	1130	211	39	0	0	0	0	0	0	0	1427479	561473	0	0	0	0	0	0	0	211	28942	1427479	8596	5002	56	110	0	o__Clostridiales (UID1120)	304	250	143	96	154	0	0	0	0	73.89	0	0	14	0	0	0	Acidiphilium_sp.	94.191	1.43	Acidiphilium_sp.	14.859097752051
B5	bin.1	1711	266	54	0	0	0	0	0	0	0	1852068	779812	0	0	0	0	0	0	0	266	25274	1852068	8247	5286	71	140	0	o__Clostridiales (UID1212)	172	263	149	29	226	8	0	0	0	84.77	3.16	50	22	0	0	3	Firmicutes_bacterium	66.264	1.85	Firmicutes_bacterium	17.9122742793461
B5	bin.10	1416	125	62	2	1	0	0	0	0	0	1777195	1399745	154523	100520	0	0	0	0	0	125	100520	1777195	20649	10431	26	56	0	o__Bacteroidales (UID2657)	160	492	269	130	362	0	0	0	0	71.01	0	0	8	0	0	1	uncultured_Prevotella	20.247	1.78	uncultured	19.5095079605783
B5	bin.11	2018	363	51	0	0	0	0	0	0	0	2207976	697154	0	0	0	0	0	0	0	363	22935	2207976	6830	4420	101	200	0	k__Bacteria (UID2982)	88	229	147	29	196	4	0	0	0	84.75	1.1	25	12	0	0	0	Akkermansia_muciniphila	85.119	2.21	Akkermansia_muciniphila	9.66980619354558
B5	bin.12	1710	113	69	7	0	0	0	0	0	0	2192155	1934709	442225	0	0	0	0	0	0	113	70466	2192155	29681	17654	26	49	0	k__Bacteria (UID2982)	88	230	148	18	211	1	0	0	0	89.19	0.68	0	24	1	1	0	Lentisphaeria_bacterium	67.921	2.19	Lentisphaeria_bacterium	24.6568331162714
B5	bin.13	310	52	8	0	0	0	0	0	0	0	303536	108784	0	0	0	0	0	0	0	52	19459	303536	6166	4345	14	29	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	2	0	0	0	Oscillibacter_sp.	18.31	0.3	Oscillibacter	12.9429458120289
B5	bin.14	739	198	13	0	0	0	0	0	0	0	939253	152744	0	0	0	0	0	0	0	198	17332	939253	4997	3693	63	119	0	k__Bacteria (UID203)	5449	104	58	80	24	0	0	0	0	27.82	0	0	2	0	0	0	Alistipes_sp.	90.874	0.94	Alistipes_sp.	11.3776053949255
B5	bin.15	923	284	7	0	0	0	0	0	0	0	1241438	90718	0	0	0	0	0	0	0	284	17634	1241438	4426	3311	97	178	0	k__Bacteria (UID203)	5449	104	58	87	16	1	0	0	0	25.86	1.72	0	6	0	0	0	Prevotella_sp.	94.982	1.24	Prevotella_sp.	9.94048836913321
B5	bin.16	1356	28	26	13	4	0	0	0	0	0	1449553	1437085	1101439	536113	0	0	0	0	0	28	169177	1449553	66976	51535	7	13	0	k__Bacteria (UID203)	5449	103	57	59	44	0	0	0	0	66.67	0	0	33	0	1	1	Clostridium_sp.	100	1.45	Clostridium_sp.	19.8906490483618
B5	bin.17	401	134	0	0	0	0	0	0	0	0	425557	0	0	0	0	0	0	0	0	134	9324	425557	3137	2774	58	94	0	k__Bacteria (UID203)	5449	104	58	91	13	0	0	0	0	7.45	0	0	2	0	0	0	Escherichia_coli	66.465	0.43	Escherichia_coli	6.77183080057431
B5	bin.18	372	28	17	1	0	0	0	0	0	0	421749	350429	55861	0	0	0	0	0	0	28	55861	421749	19057	13364	8	15	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	NA	0	0	0	Alistipes_sp.	86.304	0.42	Alistipes_sp.	78.8406137299673
B5	bin.19	526	161	0	0	0	0	0	0	0	0	578185	0	0	0	0	0	0	0	0	161	7344	578185	3542	3073	65	109	0	k__Bacteria (UID203)	5449	102	56	88	14	0	0	0	0	20.54	0	0	6	0	0	0	Faecalibacterium_prausnitzii	93.019	0.58	Faecalibacterium_prausnitzii	13.944758165639
B5	bin.2	1393	227	42	0	0	0	0	0	0	0	1524711	644489	0	0	0	0	0	0	0	227	38268	1524711	8393	4527	55	117	0	p__Bacteroidetes (UID2605)	350	316	210	72	236	8	0	0	0	83.08	1.7	37.5	12	0	0	0	Bacteroides_sp.	91.692	1.52	Bacteroides_sp.	11.7495381091892
B5	bin.20	1533	243	48	0	0	0	0	0	0	0	1689427	660408	0	0	0	0	0	0	0	243	22033	1689427	8062	5357	69	134	0	o__Clostridiales (UID1212)	172	263	149	51	212	0	0	0	0	91.01	0	0	13	0	0	1	Ruminococcaceae_bacterium	99.811	1.69	Ruminococcaceae_bacterium	12.8757856953867
B5	bin.21	1789	138	80	3	0	0	0	0	0	0	2194353	1834666	207325	0	0	0	0	0	0	138	95073	2194353	22896	13580	33	64	0	k__Bacteria (UID2569)	434	278	186	15	262	1	0	0	0	94.89	0.54	0	17	0	1	1	Bacteroidales_bacterium	96.273	2.19	Bacteroidales_bacterium	21.2420927717646
B5	bin.22	1701	279	43	0	0	0	0	0	0	0	1860963	601670	0	0	0	0	0	0	0	279	22772	1860963	7909	5053	80	154	0	o__Clostridiales (UID1212)	172	263	149	69	193	1	0	0	0	81.49	0.13	100	11	0	0	1	Ruminococcus_champanellensis	88.985	1.86	Ruminococcus_champanellensis	10.746774653768
B5	bin.23	1852	268	50	0	0	0	0	0	0	0	1976847	855538	0	0	0	0	0	0	0	268	36434	1976847	8821	5236	65	136	0	o__Clostridiales (UID1212)	172	263	149	42	216	5	0	0	0	79.24	1.72	60	11	0	0	1	Clostridiales_bacterium	55.167	1.98	Clostridiales	13.1627789100522
B5	bin.24	504	74	11	0	0	0	0	0	0	0	494166	172301	0	0	0	0	0	0	0	74	23587	494166	8786	4362	19	39	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	4	1	0	1	Clostridiales_bacterium	26.425	0.49	Clostridiales	17.1783368341812
B5	bin.25	5741	869	226	3	0	0	0	0	0	0	7142592	3932867	188445	0	0	0	0	0	0	869	75270	7142592	10914	6017	192	412	0	k__Bacteria (UID203)	5449	104	58	37	29	36	2	0	0	81.9	54.39	9.52	34	0	0	2	Bacteroides_vulgatus	48.625	7.14	Bacteroides	13.2790239173678
B5	bin.26	1885	160	88	5	0	0	0	0	0	0	2426210	2010825	308750	0	0	0	0	0	0	160	78207	2426210	23058	12958	35	71	0	g__Prevotella (UID2722)	64	532	281	70	460	2	0	0	0	93.28	0.47	0	22	0	0	1	Prevotella_sp.	97.02	2.43	Prevotella_sp.	15.5733633939354
B5	bin.27	1116	171	42	0	0	0	0	0	0	0	1341124	628838	0	0	0	0	0	0	0	171	28498	1341124	9618	6062	47	91	0	c__Clostridia (UID1118)	387	223	124	25	191	7	0	0	0	86.16	1.25	28.57	27	1	0	2	Clostridiales_bacterium	22.686	1.34	Clostridiales	13.1667914376299
B5	bin.28	348	119	0	0	0	0	0	0	0	0	401247	0	0	0	0	0	0	0	0	119	9648	401247	3211	2831	48	82	0	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0	0	NA	0	0	0	Bacteroides_sp.	90.682	0.4	Bacteroides_sp.	7.89650763744028
B5	bin.29	1964	99	75	9	0	0	0	0	0	0	2442446	2281440	619285	0	0	0	0	0	0	99	95345	2442446	33800	20825	24	46	0	o__Bacteroidales (UID2617)	213	406	265	16	390	0	0	0	0	96.6	0	0	29	0	0	0	Prevotella_sp.	99.187	2.44	Prevotella_sp.	31.5976688942151
B5	bin.3	460	24	17	2	0	0	0	0	0	0	511825	465924	140289	0	0	0	0	0	0	24	87400	511825	26563	16712	6	12	0	c__Clostridia (UID1118)	387	223	124	139	84	0	0	0	0	24.03	0	0	4	1	0	1	Clostridium_sp.	100	0.51	Clostridium_sp.	22.0490401992869
B5	bin.30	782	230	5	0	0	0	0	0	0	0	1000392	69464	0	0	0	0	0	0	0	230	24167	1000392	4426	3258	78	144	0	k__Bacteria (UID203)	5449	104	58	87	17	0	0	0	0	29.31	0	0	NA	0	0	0	Prevotella_sp.	37.006	1	Prevotella	9.27536405728954
B5	bin.31	542	204	1	0	0	0	0	0	0	0	807617	14970	0	0	0	0	0	0	0	204	14970	807617	3872	3098	72	132	0	k__Bacteria (UID203)	5449	104	58	89	15	0	0	0	0	17.16	0	0	NA	0	0	0	Prevotella_sp.	70.413	0.81	Prevotella_sp.	9.81034326914862
B5	bin.32	1275	168	51	0	0	0	0	0	0	0	1423649	770238	0	0	0	0	0	0	0	168	36917	1423649	10732	6604	46	89	0	o__Clostridiales (UID1120)	304	250	143	47	199	4	0	0	0	88.57	2.17	50	24	1	0	0	Clostridium_sp.	52.863	1.42	Clostridium	22.3843798576756
B5	bin.33	661	61	32	0	0	0	0	0	0	0	804941	648501	0	0	0	0	0	0	0	61	35723	804941	19838	12796	16	29	0	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	10.34	0	0	4	0	0	0	Parabacteroides_sp.	53.346	0.8	Parabacteroides	19.5927403374906
B5	bin.34	269	106	0	0	0	0	0	0	0	0	352623	0	0	0	0	0	0	0	0	106	5561	352623	3285	2816	44	73	0	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	3	0	0	0	Porphyromonadaceae_bacterium	97.542	0.35	Porphyromonadaceae_bacterium	7.65349962991637
B5	bin.35	473	137	1	0	0	0	0	0	0	0	501314	10414	0	0	0	0	0	0	0	137	10414	501314	3628	2922	51	91	0	k__Bacteria (UID203)	5449	104	58	84	19	1	0	0	0	18.5	0.86	0	2	0	0	0	uncultured_Clostridiales	71.551	0.5	uncultured_Clostridiales	12.8889278974854
B5	bin.36	1492	191	47	1	0	0	0	0	0	0	1589803	804024	58845	0	0	0	0	0	0	191	58845	1589803	10452	6100	47	97	0	c__Clostridia (UID1118)	387	223	124	23	199	1	0	0	0	89.76	0.27	0	11	1	0	0	Christensenellaceae_bacterium	20.103	1.59	Christensenellaceae	12.5717463107064
B5	bin.37	1392	272	42	0	0	0	0	0	0	0	1694819	536620	0	0	0	0	0	0	0	272	24374	1694819	7692	4723	78	149	0	p__Firmicutes (UID1022)	100	295	158	64	230	1	0	0	0	84.78	0.63	0	18	1	1	1	Dialister_sp.	98.498	1.69	Dialister_sp.	13.1498112777825
B5	bin.38	1987	241	73	0	0	0	0	0	0	0	2236148	1335722	0	0	0	0	0	0	0	241	43610	2236148	12801	7062	54	114	0	o__Clostridiales (UID1212)	172	263	149	62	201	0	0	0	0	89.49	0	0	18	0	0	1	Ruminococcaceae_bacterium	50.991	2.24	Ruminococcaceae	17.2198128209761
B5	bin.39	1136	381	6	0	0	0	0	0	0	0	1441332	68444	0	0	0	0	0	0	0	381	12975	1441332	3655	2974	139	249	0	k__Bacteria (UID203)	5449	104	58	89	14	1	0	0	0	19.97	1.72	100	2	0	0	0	Prevotella_copri	72.712	1.44	Prevotella_copri	11.226698637094
B5	bin.4	327	79	1	0	0	0	0	0	0	0	301017	10029	0	0	0	0	0	0	0	79	10029	301017	3842	2995	30	52	0	k__Archaea (UID2)	207	149	107	129	20	0	0	0	0	16.82	0	0	NA	0	0	0	Methanomassiliicoccaceae_archaeon	22.233	0.3	Methanomassiliicoccaceae	7.93908649677593
B5	bin.40	1786	124	77	4	0	0	0	0	0	0	2014012	1736366	299561	0	0	0	0	0	0	124	77087	2014012	22402	12165	27	57	0	o__Clostridiales (UID1212)	172	263	149	20	243	0	0	0	0	95.71	0	0	19	1	0	1	Clostridium_sp.	99.84	2.01	Clostridium_sp.	17.9132001199596
B5	bin.5	236	83	0	0	0	0	0	0	0	0	274193	0	0	0	0	0	0	0	0	83	7092	274193	3144	2813	35	58	0	k__Bacteria (UID203)	5449	104	58	92	12	0	0	0	0	11.29	0	0	NA	0	0	0	Clostridiales_bacterium	48.42	0.27	Clostridiales	10.1512438318994
B5	bin.6	1318	392	8	0	0	0	0	0	0	0	1640048	93992	0	0	0	0	0	0	0	392	13132	1640048	4177	3334	140	251	0	k__Bacteria (UID2982)	88	230	148	116	113	1	0	0	0	40.21	0.17	0	8	0	0	0	uncultured_Lentisphaerae	40.189	1.64	uncultured	10.1518675063169
B5	bin.7	2405	122	85	18	0	0	0	0	0	0	3090275	2870417	1133394	0	0	0	0	0	0	122	92302	3090275	40177	24841	28	52	0	p__Bacteroidetes (UID2605)	350	316	210	24	289	3	0	0	0	89.84	1.19	33.33	22	0	1	1	Alistipes_sp.	99.55	3.09	Alistipes_sp.	105.100889079451
B5	bin.8	264	80	0	0	0	0	0	0	0	0	296708	0	0	0	0	0	0	0	0	80	8372	296708	3515	3069	32	54	0	k__Bacteria (UID203)	5449	103	57	82	21	0	0	0	0	25.68	0	0	NA	0	0	0	Clostridiales_bacterium	34.458	0.3	Clostridiales	9.17012685872979
B5	bin.9	1726	65	44	8	3	0	0	0	0	0	1852354	1721061	810109	409744	0	0	0	0	0	65	154121	1852354	43159	28043	11	25	0	o__Clostridiales (UID1212)	172	263	149	21	242	0	0	0	0	88.93	0	0	30	0	0	2	Clostridiales_bacterium	90.855	1.85	Clostridiales_bacterium	27.4026454986466
B7	bin.1	1855	284	76	0	0	0	0	0	0	0	2446816	1210044	0	0	0	0	0	0	0	284	39380	2446816	9971	6864	78	152	0	k__Bacteria (UID203)	5449	104	58	59	44	1	0	0	0	71.55	1.72	100	18	0	0	1	Prevotella_sp.	76.086	2.45	Prevotella_sp.	22.3282012215058
B7	bin.10	871	154	16	0	0	0	0	0	0	0	862401	213994	0	0	0	0	0	0	0	154	30845	862401	6363	4189	45	87	0	k__Bacteria (UID203)	5449	104	58	102	2	0	0	0	0	3.45	0	0	NA	0	0	0	Prevotella_sp.	40.499	0.86	Prevotella	19.3667447046096
B7	bin.11	218	30	7	0	0	0	0	0	0	0	206841	97262	0	0	0	0	0	0	0	30	20135	206841	9889	5354	8	16	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	NA	0	0	0	Prevotella_copri	95.306	0.21	Prevotella_copri	94.0802355432434
B7	bin.12	266	70	3	0	0	0	0	0	0	0	364598	35934	0	0	0	0	0	0	0	70	13116	364598	5748	4162	24	43	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	2	0	0	0	uncultured_Prevotella	75.114	0.36	uncultured_Prevotella	11.0414758172014
B7	bin.13	529	28	19	4	1	0	0	0	0	0	667273	613058	303498	109742	0	0	0	0	0	28	109742	667273	43722	17907	5	11	0	k__Bacteria (UID203)	5449	104	58	85	19	0	0	0	0	29.31	0	0	12	0	0	1	Prevotella_sp.	42.758	0.67	Prevotella	21.325454499133
B7	bin.14	1233	80	59	5	0	0	0	0	0	0	1666400	1554000	285734	0	0	0	0	0	0	80	68368	1666400	31002	17255	19	37	0	k__Bacteria (UID203)	5449	104	58	73	31	0	0	0	0	46.55	0	0	8	0	0	1	Prevotella_sp.	61.001	1.67	Prevotella_sp.	27.2500600096015
B7	bin.15	2357	404	100	1	0	0	0	0	0	0	3238203	1740140	52591	0	0	0	0	0	0	404	52591	3238203	10851	5649	89	195	0	k__Bacteria (UID203)	5449	104	58	69	20	10	2	3	0	51.21	32.76	85.29	23	0	0	2	Prevotella_sp.	52.769	3.24	Prevotella	39.8350566656877
B7	bin.16	1728	308	44	2	0	0	0	0	0	0	2028182	758268	104774	0	0	0	0	0	0	308	53646	2028182	7636	4670	74	160	0	k__Bacteria (UID203)	5449	104	58	61	40	3	0	0	0	57.92	1.03	100	26	0	0	5	Prevotella_copri	96.523	2.03	Prevotella_copri	126.520894081498
B7	bin.2	218	55	3	0	0	0	0	0	0	0	245366	36321	0	0	0	0	0	0	0	55	16031	245366	4564	3368	18	34	0	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	NA	0	0	1	Prevotella_sp.	63.172	0.25	Prevotella_sp.	11.3952218318756
B7	bin.3	2072	102	57	10	3	0	0	0	0	0	2368545	2092591	987814	549469	0	0	0	0	0	102	237191	2368545	34291	19138	15	37	0	c__Gammaproteobacteria (UID4201)	1164	271	170	21	249	1	0	0	0	98.24	0.29	0	45	0	0	2	Succinatimonas_sp.	97.02	2.37	Succinatimonas_sp.	35.3935010734438
B7	bin.4	5829	788	190	4	0	0	0	0	0	0	6639043	3611277	276084	0	0	0	0	0	0	788	94881	6639043	11156	6130	163	370	0	k__Bacteria (UID203)	5449	104	58	57	28	16	3	0	0	68.28	33.97	88	57	0	0	5	Prevotella_sp.	59.375	6.64	Prevotella	35.8962202835559
B7	bin.5	215	59	2	0	0	0	0	0	0	0	286260	29738	0	0	0	0	0	0	0	59	15112	286260	5000	3610	19	36	0	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	2	0	0	0	Prevotella_sp.	51.401	0.29	Prevotella	12.8191154894152
B7	bin.6	1920	221	84	2	0	0	0	0	0	0	2474114	1757713	128568	0	0	0	0	0	0	221	66492	2474114	15696	8824	44	95	0	k__Bacteria (UID203)	5449	104	58	59	39	5	1	0	0	67.24	12.07	100	37	0	0	3	Prevotella_sp.	87.017	2.47	Prevotella_sp.	67.8547754873058
B7	bin.7	1624	218	82	1	0	0	0	0	0	0	2250228	1452293	57542	0	0	0	0	0	0	218	57542	2250228	13143	8017	54	109	0	k__Bacteria (UID203)	5449	104	58	65	39	0	0	0	0	62.07	0	0	14	0	0	1	Prevotella_sp.	97.697	2.25	Prevotella_sp.	20.8409547832486
B7	bin.8	266	32	10	0	0	0	0	0	0	0	298336	172450	0	0	0	0	0	0	0	32	35726	298336	13073	7065	8	16	0	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	3	0	0	0	Prevotella_sp.	64.083	0.3	Prevotella_sp.	16.6493483857128
B7	bin.9	2089	112	84	14	1	0	0	0	0	0	2805979	2632983	1042386	188416	0	0	0	0	0	112	188416	2805979	37736	18684	23	48	0	o__Bacteroidales (UID2716)	92	487	270	45	435	7	0	0	0	95.62	1.98	85.71	35	0	0	5	Prevotella_sp.	84.886	2.81	Prevotella_sp.	38.2899515641421
B8	bin.1	504	92	10	0	0	0	0	0	0	0	515480	150432	0	0	0	0	0	0	0	92	25750	515480	6128	4161	25	51	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	NA	0	0	0	Prevotella_copri	76.822	0.52	Prevotella_copri	29.8658531853806
B8	bin.10	1626	295	61	0	0	0	0	0	0	0	2114439	889146	0	0	0	0	0	0	0	295	29020	2114439	8585	5244	80	157	0	g__Prevotella (UID2724)	55	567	296	158	407	2	0	0	0	79.25	0.51	50	15	0	0	0	Prevotella_sp.	49.022	2.11	Prevotella	20.12696984874
B8	bin.11	2372	93	64	13	3	0	0	0	0	0	2627669	2474989	1090607	359920	0	0	0	0	0	93	155552	2627669	44812	28400	18	37	0	f__Lachnospiraceae (UID1286)	57	420	207	48	366	6	0	0	0	96.86	1.84	0	37	1	0	0	Clostridium_sp.	97.698	2.63	Clostridium_sp.	25.3589588338562
B8	bin.12	1376	326	12	0	0	0	0	0	0	0	1543063	145908	0	0	0	0	0	0	0	326	15921	1543063	4991	3519	106	198	0	k__Bacteria (UID203)	5449	102	56	55	43	4	0	0	0	64.06	6.25	100	17	0	0	0	Faecalibacterium_prausnitzii	99.102	1.54	Faecalibacterium_prausnitzii	18.8867855687033
B8	bin.13	439	132	0	0	0	0	0	0	0	0	479276	0	0	0	0	0	0	0	0	132	9743	479276	3581	2975	51	88	0	p__Proteobacteria (UID3887)	1487	256	160	193	63	0	0	0	0	22.22	0	0	NA	1	0	0	Sutterella_sp.	87.819	0.48	Sutterella_sp.	8.07186255936037
B8	bin.14	1944	97	76	10	1	0	0	0	0	0	2437717	2308123	674018	124510	0	0	0	0	0	97	124510	2437717	34520	21049	24	46	0	o__Bacteroidales (UID2617)	213	406	265	12	394	0	0	0	0	96.6	0	0	31	0	1	1	Prevotella_sp.	99.775	2.44	Prevotella_sp.	31.887991920309
B8	bin.15	977	215	21	0	0	0	0	0	0	0	1147757	273243	0	0	0	0	0	0	0	215	17956	1147757	6015	3913	64	123	0	o__Clostridiales (UID1212)	172	263	149	111	151	1	0	0	0	63.87	0.34	0	NA	0	0	0	Ruminococcaceae_bacterium	65.511	1.15	Ruminococcaceae_bacterium	11.881652649472
B8	bin.16	1645	290	37	0	0	0	0	0	0	0	1819682	543742	0	0	0	0	0	0	0	290	27266	1819682	7360	4745	82	160	0	o__Clostridiales (UID1212)	172	263	149	69	193	1	0	0	0	73.76	0.67	100	5	0	0	0	Anaerotruncus_sp.	98.889	1.82	Anaerotruncus_sp.	11.969289139531
B8	bin.17	527	44	23	0	0	0	0	0	0	0	588164	445225	0	0	0	0	0	0	0	44	40732	588164	17629	10221	12	23	0	c__Gammaproteobacteria (UID4201)	1164	271	170	140	131	0	0	0	0	40	0	0	25	0	0	3	Succinatimonas_sp.	97.003	0.59	Succinatimonas_sp.	25.6900286314701
B8	bin.18	5136	757	170	6	0	0	0	0	0	0	6188016	3442653	425607	0	0	0	0	0	0	757	85246	6188016	11689	5438	139	338	0	k__Bacteria (UID203)	5449	104	58	43	16	37	8	0	0	79.94	75.86	80.33	69	0	0	3	Prevotella_copri	74.54	6.19	Prevotella_copri	61.7701941947144
B8	bin.19	519	160	0	0	0	0	0	0	0	0	571696	0	0	0	0	0	0	0	0	160	9751	571696	3578	2916	63	108	0	k__Bacteria (UID203)	5449	104	58	88	13	3	0	0	0	21.71	3.45	0	NA	0	0	0	Firmicutes_bacterium	87.423	0.57	Firmicutes_bacterium	9.93648722397918
B8	bin.2	313	59	5	0	0	0	0	0	0	0	294421	80223	0	0	0	0	0	0	0	59	26457	294421	5593	3327	15	34	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	NA	0	0	0	Oscillibacter_sp.	31.281	0.29	Oscillibacter	17.2131064020569
B8	bin.20	369	36	4	0	0	0	0	0	0	0	256065	116861	0	0	0	0	0	0	0	36	39872	256065	9058	4558	6	16	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	7	0	0	0	Oscillibacter_sp.	25.56	0.26	Oscillibacter	21.4158514439693
B8	bin.21	1007	273	2	0	0	0	0	0	0	0	1104668	24637	0	0	0	0	0	0	0	273	13518	1104668	4047	3230	99	175	0	k__Bacteria (UID2982)	88	229	147	124	105	0	0	0	0	47.28	0	0	4	0	0	0	Akkermansia_muciniphila	63.129	1.1	Akkermansia_muciniphila	7.97031325248853
B8	bin.22	947	200	10	0	0	0	0	0	0	0	1071181	146281	0	0	0	0	0	0	0	200	31564	1071181	5868	3998	62	117	0	o__Clostridiales (UID1212)	172	263	149	90	173	0	0	0	0	58.06	0	0	NA	0	0	0	Ruminococcaceae_bacterium	93.955	1.07	Ruminococcaceae_bacterium	11.0166255749495
B8	bin.23	892	257	2	0	0	0	0	0	0	0	1007051	43673	0	0	0	0	0	0	0	257	33488	1007051	3775	3063	91	165	0	k__Bacteria (UID203)	5449	102	56	77	25	0	0	0	0	35.15	0	0	2	0	0	0	Faecalibacterium_prausnitzii	89.716	1.01	Faecalibacterium_prausnitzii	14.8184153533436
B8	bin.24	1278	269	17	0	0	0	0	0	0	0	1352843	216693	0	0	0	0	0	0	0	269	20013	1352843	5304	3739	81	159	0	k__Bacteria (UID203)	5449	104	58	62	41	1	0	0	0	61.38	0.34	100	4	0	0	0	Oscillibacter_sp.	97.138	1.35	Oscillibacter_sp.	18.8449805335874
